geoid,county,county_raw_x,incidence_rate_raw,average_annual_cases_raw,incidence_lower_ci_raw,incidence_upper_ci_raw,incidence_rate,average_annual_cases,incidence_lower_ci,incidence_upper_ci,incidence_suppressed,cancer_site,stage,period,sex,county_raw_y,mortality_rate_raw,average_annual_deaths_raw,mortality_lower_ci_raw,mortality_upper_ci_raw,mortality_rate,average_annual_deaths,mortality_lower_ci,mortality_upper_ci,mortality_suppressed,fips,population_2020,rucc_2023,rucc_description,metro_status,rurality_3_level,rurality_ordinal,uninsured_percent,uninsured_lower_ci,uninsured_upper_ci,high_blood_pressure_percent,high_blood_pressure_lower_ci,high_blood_pressure_upper_ci,annual_checkup_percent,annual_checkup_lower_ci,annual_checkup_upper_ci,smoking_percent,smoking_lower_ci,smoking_upper_ci,depression_percent,depression_lower_ci,depression_upper_ci,diabetes_percent,diabetes_lower_ci,diabetes_upper_ci,food_insecurity_percent,food_insecurity_lower_ci,food_insecurity_upper_ci,transportation_barriers_percent,transportation_barriers_lower_ci,transportation_barriers_upper_ci,physical_inactivity_percent,physical_inactivity_lower_ci,physical_inactivity_upper_ci,mammography_percent,mammography_lower_ci,mammography_upper_ci,frequent_mental_distress_percent,frequent_mental_distress_lower_ci,frequent_mental_distress_upper_ci,obesity_percent,obesity_lower_ci,obesity_upper_ci,incidence_reportable,mortality_reportable,both_rates_reportable,neither_rate_reportable,surveillance_availability,incidence_difference_from_ohio,mortality_difference_from_ohio,incidence_vs_ohio,mortality_vs_ohio,population_group
39105,Meigs,Meigs County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Meigs County,*,3 or fewer,*,*,,3,,,TRUE,39105,22210,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,12.3,11,13.8,36.4,32.5,40.5,76.1,72.2,79.7,25.1,22.4,27.9,31.1,27.1,35.3,13.1,11.5,14.8,16.6,14.8,18.6,10.4,9.4,11.5,31.1,26.8,35.6,74.4,67,81.2,23.8,21.7,25.9,48.7,41.6,55.6,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39111,Monroe,Monroe County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Monroe County,*,3 or fewer,*,*,,3,,,TRUE,39111,13385,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,10,8.9,11.2,35.2,31.1,39.1,75.2,71.3,79,24.3,21.7,27,29.4,25.5,33.5,12.1,10.5,13.8,14.8,13.1,16.6,9.6,8.7,10.6,29.4,25.2,33.9,70.9,62.6,78.7,22.9,20.9,25,43,36,50.3,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39029,Columbiana,Columbiana County(2),14.2,10,10.3,19.2,14.2,10,10.3,19.2,FALSE,Ovary,All stages,2018–2022,Female,Columbiana County,6,5,3.7,9.4,6,5,3.7,9.4,FALSE,39029,101877,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,10.3,9.2,11.5,33.3,29.7,37.2,76.8,73.1,80.2,23.3,20.7,25.8,27.1,23.5,30.8,12.2,10.6,13.8,12.8,11.4,14.4,8.5,7.7,9.4,28.5,24.5,32.6,72.2,64.6,78.9,22.2,20.2,24.2,47,40.6,53.2,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,4.399999999999999,0.20000000000000018,Above Ohio point estimate,Above Ohio point estimate,"100,000–249,999"
39093,Lorain,Lorain County(2),10.3,22,8.4,12.6,10.3,22,8.4,12.6,FALSE,Ovary,All stages,2018–2022,Female,Lorain County,5.5,13,4.2,7.1,5.5,13,4.2,7.1,FALSE,39093,312964,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,8.3,7.4,9.3,33.1,29.5,36.9,77.2,73.5,80.3,19.4,17.1,21.5,29.1,25.4,32.5,11.6,10.2,13.1,12.7,11.4,14.2,8.4,7.7,9.3,28.1,24.3,31.6,73.5,66.2,79.6,21.3,19.4,23.1,39.6,33.8,45.1,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,0.5,-0.2999999999999998,Above Ohio point estimate,Below Ohio point estimate,"250,000 or more"
39155,Trumbull,Trumbull County(2),9.2,14,7,11.9,9.2,14,7,11.9,FALSE,Ovary,All stages,2018–2022,Female,Trumbull County,5.7,10,4.2,7.7,5.7,10,4.2,7.7,FALSE,39155,201977,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1,9.3,8.2,10.4,34.6,31.3,38.2,76.2,72.9,79.4,24.2,21.9,26.8,28,24.7,31.4,12.8,11.4,14.3,15.3,13.8,17.1,9.9,9,10.9,30.3,26.7,34,76.7,70.5,82.3,23.3,21.4,25.3,44.6,39.3,49.9,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,-0.6000000000000014,-0.09999999999999964,Below Ohio point estimate,Below Ohio point estimate,"100,000–249,999"
39007,Ashtabula,Ashtabula County(2),12,8,8.3,17,12,8,8.3,17,FALSE,Ovary,All stages,2018–2022,Female,Ashtabula County,6.7,5,4.2,10.3,6.7,5,4.2,10.3,FALSE,39007,97574,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,9.4,8.4,10.5,35.1,31.6,39.1,75.5,71.9,78.8,21.9,19.7,24.2,27.3,24,30.7,12.3,10.8,13.8,18.1,16.2,20.2,11.3,10.2,12.4,27.4,23.9,31,74,67,80.2,21.8,20,23.7,43.1,37.4,48.8,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,2.1999999999999993,0.9000000000000004,Above Ohio point estimate,Above Ohio point estimate,"50,000–99,999"
39023,Clark,Clark County(2),7.8,8,5.5,10.8,7.8,8,5.5,10.8,FALSE,Ovary,All stages,2018–2022,Female,Clark County,4.6,5,3,6.9,4.6,5,3,6.9,FALSE,39023,136001,3,"Metro - Counties in metro areas of fewer than 250,000 population",Metropolitan,Metropolitan,1,8,7.1,9,34.7,30.7,38.7,76.4,72.7,79.8,21.8,19.5,24.2,28.5,24.9,32.3,12.3,10.7,13.9,15.3,13.6,17.1,9.8,8.9,10.9,29,25.3,33,72.6,65.2,79.3,21.3,19.4,23.3,41.8,35.8,48,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,-2.000000000000001,-1.2000000000000002,Below Ohio point estimate,Below Ohio point estimate,"100,000–249,999"
39041,Delaware,Delaware County(2),9,11,6.8,11.8,9,11,6.8,11.8,FALSE,Ovary,All stages,2018–2022,Female,Delaware County,4.3,6,2.8,6.2,4.3,6,2.8,6.2,FALSE,39041,214124,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,4.5,4,5,28.8,25.8,31.7,76.5,73.5,79.3,12.3,10.9,13.8,21.3,18.9,23.9,8.9,7.9,10.1,5.9,5.2,6.6,4.6,4.2,5.1,17.7,15.4,20.1,83.5,78.7,87.5,16.7,15.2,18.2,32.2,28.5,36.2,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,-0.8000000000000007,-1.5,Below Ohio point estimate,Below Ohio point estimate,"100,000–249,999"
39109,Miami,Miami County(2),13.9,9,10,18.9,13.9,9,10,18.9,FALSE,Ovary,All stages,2018–2022,Female,Miami County,5.3,4,3.3,8.4,5.3,4,3.3,8.4,FALSE,39109,108774,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1,8,7.1,9.1,32.3,28.5,36.1,77.7,73.9,81.3,16.4,14.4,18.5,26.8,23.1,30.8,10.5,9.2,12.1,12.8,11.4,14.3,8.6,7.9,9.5,21.2,17.8,25,71,62.5,78.3,19.2,17.4,21.2,39.8,33,47.1,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,4.1,-0.5,Above Ohio point estimate,Below Ohio point estimate,"100,000–249,999"
39159,Union,Union County(2),10.6,4,6.3,16.8,10.6,4,6.3,16.8,FALSE,Ovary,All stages,2018–2022,Female,Union County,*,3 or fewer,*,*,,3,,,TRUE,39159,62784,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,4.2,3.7,4.9,29.9,26,33.8,77.6,74,81,14.4,12.6,16.2,25.3,22,28.9,8.7,7.5,10,8.9,7.8,10,6.3,5.7,7,20.1,17.1,23.5,78.9,72,84.8,17.3,15.7,19.1,37.4,31.7,43.4,TRUE,FALSE,FALSE,FALSE,Incidence only reportable,0.7999999999999989,,Above Ohio point estimate,Suppressed or unavailable,"50,000–99,999"
39019,Carroll,Carroll County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Carroll County,*,3 or fewer,*,*,,3,,,TRUE,39019,26721,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1,10.5,9.3,11.8,32,28.1,35.9,74.3,70.1,78.2,24.6,21.9,27.5,29.1,25.2,33.3,12.3,10.7,14,13.2,11.6,14.8,8.9,8.1,9.9,29.4,25.1,34,75.3,67.6,82,22.5,20.5,24.6,40.7,33.7,48.1,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39149,Shelby,Shelby County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Shelby County,*,3 or fewer,*,*,,3,,,TRUE,39149,48230,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,7.4,6.6,8.3,32.1,28.3,36.2,75.4,71.5,79.3,20.3,18,22.8,27.8,24.2,31.9,11.4,9.9,13,12.4,10.9,13.9,8.4,7.6,9.3,25.2,21.6,29.4,73.9,66.4,81,21.2,19.3,23.2,37.9,31.3,45.5,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39075,Holmes,Holmes County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Holmes County,*,3 or fewer,*,*,,3,,,TRUE,39075,44223,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3,13,11.6,14.5,32.9,28.9,37.2,72.6,68.3,76.7,26.8,23.9,29.6,29.4,25.4,33.6,12.3,10.7,14,15.6,13.9,17.4,9.9,9,10.9,32.7,28.1,37.6,69.2,60.5,77.4,23.7,21.6,25.8,42.7,34.8,50.6,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39087,Lawrence,Lawrence County(2),10.4,4,6.2,16.6,10.4,4,6.2,16.6,FALSE,Ovary,All stages,2018–2022,Female,Lawrence County,*,3 or fewer,*,*,,3,,,TRUE,39087,58240,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1,8.2,7.2,9.2,36.6,33.1,40.1,75.9,72.3,79.3,24.4,21.9,27.1,30.6,27.1,34.4,13,11.5,14.6,14.7,13,16.5,9.6,8.7,10.6,33.5,29.5,37.7,69.4,62,76.4,23.4,21.4,25.6,44.9,39.4,50.6,TRUE,FALSE,FALSE,FALSE,Incidence only reportable,0.5999999999999996,,Above Ohio point estimate,Suppressed or unavailable,"50,000–99,999"
39053,Gallia,Gallia County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Gallia County,*,3 or fewer,*,*,,3,,,TRUE,39053,29220,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,8.2,7.2,9.2,33.9,30.3,37.9,76.7,73.1,79.9,21.9,19.6,24.2,26.8,23.4,30.4,12.7,11.1,14.2,13.8,12.3,15.4,9.2,8.3,10.1,30.9,27.1,35,71.1,63.3,77.7,21.1,19.2,23,40.1,34,46.3,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39039,Defiance,Defiance County(2),13.9,3,7.7,23.2,13.9,3,7.7,23.2,FALSE,Ovary,All stages,2018–2022,Female,Defiance County,*,3 or fewer,*,*,,3,,,TRUE,39039,38286,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,9.5,8.4,10.6,32.1,28.1,36.2,75.6,71.5,79.3,18.4,16.2,20.6,26.7,22.9,30.5,11.2,9.8,12.8,12.6,11.2,14.2,8.5,7.7,9.4,25.4,21.5,29.5,75.7,68.2,82.3,19.7,17.8,21.6,42.2,34.7,49.8,TRUE,FALSE,FALSE,FALSE,Incidence only reportable,4.1,,Above Ohio point estimate,Suppressed or unavailable,"Less than 50,000"
39011,Auglaize,Auglaize County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Auglaize County,*,3 or fewer,*,*,,3,,,TRUE,39011,46422,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,6.2,5.4,7,30.3,27,33.9,76.1,72.4,79.6,18.5,16.5,20.7,25.2,21.9,28.9,10.1,8.8,11.6,11.9,10.5,13.4,8,7.3,8.9,23,19.6,26.6,72.9,65.4,79.6,19,17.2,20.9,42.6,36.6,49,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39045,Fairfield,Fairfield County(2),10.1,9,7.4,13.7,10.1,9,7.4,13.7,FALSE,Ovary,All stages,2018–2022,Female,Fairfield County,4.9,5,3.2,7.4,4.9,5,3.2,7.4,FALSE,39045,158921,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,6.3,5.6,7.1,32.5,28.7,36.4,76.3,72.6,79.7,21.1,18.9,23.5,26.9,23.4,30.5,11.4,10,12.9,11.3,10,12.6,7.8,7.1,8.6,27.8,24,31.7,70.7,63.1,77.6,20.6,18.8,22.5,39,33,45.1,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,0.29999999999999893,-0.8999999999999995,Above Ohio point estimate,Below Ohio point estimate,"100,000–249,999"
39151,Stark,Stark County(2),12.1,33,10.2,14.3,12.1,33,10.2,14.3,FALSE,Ovary,All stages,2018–2022,Female,Stark County,7,21,5.7,8.6,7,21,5.7,8.6,FALSE,39151,374853,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1,8.3,7.3,9.3,33.8,30.5,37.3,75.5,72,78.6,17,15.1,19,24.4,21.4,27.4,10.8,9.5,12.2,13.4,11.9,14.9,8.6,7.8,9.5,22.7,19.9,25.7,71.4,64.5,77.6,18.5,16.9,20.3,38.3,33.6,42.9,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,2.299999999999999,1.2000000000000002,Above Ohio point estimate,Above Ohio point estimate,"250,000 or more"
39071,Highland,Highland County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Highland County,*,3 or fewer,*,*,,3,,,TRUE,39071,43317,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,12.1,10.9,13.3,35.5,31.7,39.4,74.7,71.4,77.7,24.6,22.4,26.8,30.1,26.9,33.4,12.4,11,13.8,17.7,15.8,19.7,11,10,12.1,31.7,28.3,35.3,75,68.9,80.4,23,21.2,24.8,43.1,37.9,48.3,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39063,Hancock,Hancock County(2),7.2,4,4.2,11.7,7.2,4,4.2,11.7,FALSE,Ovary,All stages,2018–2022,Female,Hancock County,*,3 or fewer,*,*,,3,,,TRUE,39063,74920,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,7.2,6.4,8.1,30.9,27.7,34.4,76,72.5,79.5,16.7,15,18.8,26.5,23.3,30.3,10.9,9.6,12.5,11.1,9.9,12.5,7.6,6.9,8.4,23.2,20.2,26.7,76.6,70.1,82.7,18.5,16.8,20.4,37,31.9,42.8,TRUE,FALSE,FALSE,FALSE,Incidence only reportable,-2.6000000000000005,,Below Ohio point estimate,Suppressed or unavailable,"50,000–99,999"
39069,Henry,Henry County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Henry County,*,3 or fewer,*,*,,3,,,TRUE,39069,27662,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,7.2,6.5,8.1,32.1,28.1,36.1,76.5,72.7,80.2,20.1,17.9,22.7,27.3,23.6,31.3,11.3,9.9,13,12.6,11.2,14.1,8.5,7.7,9.4,27.9,23.8,32.3,77.8,70.8,84.2,21,19.1,23.1,42.8,35.4,50.6,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39083,Knox,Knox County(2),9.3,3,5.1,15.4,9.3,3,5.1,15.4,FALSE,Ovary,All stages,2018–2022,Female,Knox County,*,3 or fewer,*,*,,3,,,TRUE,39083,62721,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,8.4,7.5,9.5,30.8,27.4,34.3,75.5,72,79,18.5,16.5,20.7,27.6,24.3,31.4,10.2,8.9,11.6,13.1,11.6,14.6,9.2,8.3,10.1,26.2,22.7,30.2,72.7,65.6,79.4,20.6,18.9,22.5,35.8,30.4,41.9,TRUE,FALSE,FALSE,FALSE,Incidence only reportable,-0.5,,Below Ohio point estimate,Suppressed or unavailable,"50,000–99,999"
39101,Marion,Marion County(2),10.8,4,6.6,17,10.8,4,6.6,17,FALSE,Ovary,All stages,2018–2022,Female,Marion County,*,3 or fewer,*,*,,3,,,TRUE,39101,65359,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,10.2,9.1,11.4,35.7,32,39.6,76.1,72.7,79.5,23.2,20.9,25.7,28.4,25,32,12.8,11.3,14.4,18.5,16.6,20.4,11.7,10.6,12.7,27.9,24.4,31.6,73,65.8,79.2,22.2,20.3,24.2,45.2,39.6,50.9,TRUE,FALSE,FALSE,FALSE,Incidence only reportable,1,,Above Ohio point estimate,Suppressed or unavailable,"50,000–99,999"
39117,Morrow,Morrow County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Morrow County,*,3 or fewer,*,*,,3,,,TRUE,39117,34950,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,10.3,9.1,11.5,33.4,29.5,37.4,74.9,71.1,78.6,23.8,21.2,26.4,29.5,25.7,33.5,12.5,10.9,14.1,13.8,12.3,15.5,9,8.1,9.9,30,25.9,34.3,73.2,65.4,80.1,22.4,20.4,24.4,42.6,36,49.3,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39055,Geauga,Geauga County(2),12.2,8,8.4,17.1,12.2,8,8.4,17.1,FALSE,Ovary,All stages,2018–2022,Female,Geauga County,5.8,5,3.7,9,5.8,5,3.7,9,FALSE,39055,95397,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,6.4,5.6,7.2,29,25.2,32.7,74.3,70.4,78,17.8,15.8,20,25.4,21.9,29.2,9.9,8.6,11.5,7.1,6.2,8,5.6,5,6.2,20.7,17.4,24.3,79.2,72.3,84.8,18.4,16.7,20.2,36.3,30,42.9,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,2.3999999999999986,0,Above Ohio point estimate,Equal to Ohio point estimate,"50,000–99,999"
39097,Madison,Madison County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Madison County,*,3 or fewer,*,*,,3,,,TRUE,39097,43824,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,8.7,7.7,9.8,33.5,29.4,37.8,75.3,71.7,79.3,22.3,20,25,26.7,23.3,30.8,11.6,10.2,13.3,12.4,11,13.9,8.4,7.5,9.3,26.9,23.2,31.5,70.8,63.1,78.7,21.2,19.5,23.3,41.7,34.9,49.5,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39005,Ashland,Ashland County(2),12.8,4,7.7,20.2,12.8,4,7.7,20.2,FALSE,Ovary,All stages,2018–2022,Female,Ashland County,*,3 or fewer,*,*,,3,,,TRUE,39005,52447,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,7.2,6.4,8.1,32.3,28.5,36.1,75.7,71.8,79.3,21.7,19.3,24.2,28.5,24.7,32.5,11.5,10.1,13,12,10.6,13.5,8.2,7.4,9,29,24.8,33.3,75,67.8,81.5,21.4,19.5,23.4,40.5,33.5,47.7,TRUE,FALSE,FALSE,FALSE,Incidence only reportable,3,,Above Ohio point estimate,Suppressed or unavailable,"50,000–99,999"
39031,Coshocton,Coshocton County(2),13.6,4,7.9,22.4,13.6,4,7.9,22.4,FALSE,Ovary,All stages,2018–2022,Female,Coshocton County,*,3 or fewer,*,*,,3,,,TRUE,39031,36612,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3,9.8,8.7,11,33.4,29.7,37.4,74.5,70.4,78.1,21.5,19,23.9,28.3,24.5,32.2,12.4,10.8,14,13.8,12.2,15.3,9.2,8.3,10.1,27.4,23.5,31.3,70.4,61.9,77.5,21.8,19.8,23.8,40.5,34,46.7,TRUE,FALSE,FALSE,FALSE,Incidence only reportable,3.799999999999999,,Above Ohio point estimate,Suppressed or unavailable,"Less than 50,000"
39047,Fayette,Fayette County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Fayette County,*,3 or fewer,*,*,,3,,,TRUE,39047,28951,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,10.9,9.6,12.3,34.7,31,38.8,76,71.7,79.7,23.4,20.7,26.1,29.3,25.1,33.3,13,11.3,14.8,16.9,15.1,18.8,10.5,9.5,11.5,30.2,25.7,34.5,70.2,61.2,77.8,22.7,20.6,24.8,40.6,33.5,47.6,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39025,Clermont,Clermont County(2),12.4,17,9.8,15.6,12.4,17,9.8,15.6,FALSE,Ovary,All stages,2018–2022,Female,Clermont County,6.9,10,5.1,9.2,6.9,10,5.1,9.2,FALSE,39025,208601,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,8.6,7.6,9.7,31.8,28.1,35.4,76.2,72.5,79.8,19.2,16.9,21.5,25.5,22.1,29.2,10.7,9.3,12.2,11.2,9.9,12.5,7.9,7.1,8.6,25.6,22.1,29.5,73.9,66.3,80.6,19.4,17.6,21.3,40.1,34.4,46.4,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,2.5999999999999996,1.1000000000000005,Above Ohio point estimate,Above Ohio point estimate,"100,000–249,999"
39037,Darke,Darke County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Darke County,*,3 or fewer,*,*,,3,,,TRUE,39037,51881,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,8.2,7.3,9.2,33.9,29.9,38.1,76,72.3,79.5,21.5,19.2,23.9,26.7,23.2,30.5,11.7,10.3,13.4,16.6,14.8,18.5,10.5,9.5,11.5,26.7,22.9,30.8,76.2,69,82.5,21.2,19.3,23.2,40.1,33.5,46.9,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"50,000–99,999"
39085,Lake,Lake County(2),10.8,18,8.5,13.5,10.8,18,8.5,13.5,FALSE,Ovary,All stages,2018–2022,Female,Lake County,6.7,13,5.1,8.7,6.7,13,5.1,8.7,FALSE,39085,232603,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,6.4,5.7,7.2,30.6,27,34.4,76.3,72.6,79.7,16.9,14.9,19,25.9,22.5,29.5,10.8,9.5,12.3,9.5,8.4,10.7,6.9,6.2,7.6,24.7,21.2,28.4,76.9,70.3,82.7,19.2,17.5,21,40.9,34.9,47.2,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,1,0.9000000000000004,Above Ohio point estimate,Above Ohio point estimate,"100,000–249,999"
39103,Medina,Medina County(2),11.1,13,8.4,14.4,11.1,13,8.4,14.4,FALSE,Ovary,All stages,2018–2022,Female,Medina County,5.2,7,3.6,7.3,5.2,7,3.6,7.3,FALSE,39103,182470,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1,6.8,6,7.6,28.4,25.1,31.9,76.5,72.8,80,16.1,14.2,18.1,25.9,22.5,29.6,10.4,9.1,11.8,10.2,9,11.5,7.3,6.6,8,22.3,19.1,25.8,76.4,69.3,82.5,18.1,16.4,19.8,36,30.1,42.1,TRUE,TRUE,TRUE,FALSE,Both incidence and mortality reportable,1.299999999999999,-0.5999999999999996,Above Ohio point estimate,Below Ohio point estimate,"100,000–249,999"
39091,Logan,Logan County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Logan County,*,3 or fewer,*,*,,3,,,TRUE,39091,46150,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2,7.8,6.9,8.8,32.1,28.3,36.1,75.2,70.9,79,21.2,18.7,23.9,26.9,22.9,31,11.6,10,13.2,15.6,13.9,17.4,9.8,8.9,10.8,28.6,24.2,33.2,73,65.2,80.1,21.2,19.2,23.2,38.7,31.2,46.4,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
39175,Wyandot,Wyandot County(2),*,3 or fewer,*,*,,3,,,TRUE,Ovary,All stages,2018–2022,Female,Wyandot County,*,3 or fewer,*,*,,3,,,TRUE,39175,21900,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3,7.3,6.4,8.2,30.6,26.8,34.7,75.6,71.5,79.2,18,15.8,20.2,27.4,23.5,31.1,10.3,8.9,11.7,9,7.9,10.2,6.7,6.1,7.4,25.6,21.6,29.5,76.3,68.4,82.6,20,18.1,21.8,40,32.7,47,FALSE,FALSE,FALSE,TRUE,Neither reportable,,,Suppressed or unavailable,Suppressed or unavailable,"Less than 50,000"
